,Number_offenses,Code,Code_Desc,Date,Time,Address,City,State,Zip,Code_Cat_abbrv,Crime Category,Crime Name,Address_numbers,Street_name
271903,2.0,DRUG-35B-3,DRUGS - RELATED - PARAPHERNALIA VIOLATION,2021-09-13,1903.0, FAIRHAVEN AVE / NORTH KINGS HWY,ALEXANDRIA,VA,22303.0,DRUG,DRUGS,RELATED - PARAPHERNALIA VIOLATION,, FAIRHAVEN AVE / NORTH KINGS HWY
272703,1.0,LARC-23-6,LARCENY - THEFT FROM MOTOR VEHICLE,2021-09-09,1730.0, FAIRHAVEN AVE / NORTH KINGS HWY,ALEXANDRIA,VA,22303.0,LARC,LARCENY,THEFT FROM MOTOR VEHICLE,, FAIRHAVEN AVE / NORTH KINGS HWY
272852,1.0,ANML-90Z-3,ANIMAL - LICENSE VIOLATION,2021-09-08,1318.0,2700 ALBEMARLE DR,ALEXANDRIA,VA,22303.0,ANML,ANIMAL,LICENSE VIOLATION,2700.0,ALBEMARLE DR
272886,2.0,ANML-90Z-7,ANIMAL - OTHER ANIMAL CODE VIOLATION,2021-09-08,1318.0,2700 ALBEMARLE DR,ALEXANDRIA,VA,22303.0,ANML,ANIMAL,OTHER ANIMAL CODE VIOLATION,2700.0,ALBEMARLE DR
272888,1.0,ANML-90Z-7,ANIMAL - OTHER ANIMAL CODE VIOLATION,2021-09-08,1255.0,2700 ALBEMARLE DR,ALEXANDRIA,VA,22303.0,ANML,ANIMAL,OTHER ANIMAL CODE VIOLATION,2700.0,ALBEMARLE DR
272921,2.0,NOISE-90Z-1,NOISE - NOISE VIOLATION,2021-09-08,1255.0,2700 ALBEMARLE DR,ALEXANDRIA,VA,22303.0,NOISE,NOISE,NOISE VIOLATION,2700.0,ALBEMARLE DR
274185,1.0,ANML-4,ANIMAL - SERVICE - WILD,2021-09-02,1650.0,5800 MONTICELLO RD,ALEXANDRIA,VA,22303.0,ANML,ANIMAL,SERVICE - WILD,5800.0,MONTICELLO RD
275787,1.0,LARC-23-8,LARCENY - THEFT OF BICYCLES,2021-08-26,1015.0,6000 NORTH KINGS HWY,ALEXANDRIA,VA,22303.0,LARC,LARCENY,THEFT OF BICYCLES,6000.0,NORTH KINGS HWY
276055,1.0,LARC-23-6,LARCENY - THEFT FROM MOTOR VEHICLE,2021-08-25,1522.0,2600 FARMINGTON DR,ALEXANDRIA,VA,22303.0,LARC,LARCENY,THEFT FROM MOTOR VEHICLE,2600.0,FARMINGTON DR
276056,2.0,AUTO-240-4,AUTO THEFT - AUTOS,2021-08-25,1522.0,2600 FARMINGTON DR,ALEXANDRIA,VA,22303.0,AUTO,AUTO THEFT,AUTOS,2600.0,FARMINGTON DR
