ADRNO,ADRSTR
2610,JEFFERSON
2608,JEFFERSON
5939,MONTICELLO
2624,FARMINGTON
2626,FARMINGTON
2707,FARMINGTON
2703,FARMINGTON
2701,FARMINGTON
2635,FARMINGTON
5853,EDGEHILL
2821,FORT
2811,FORT
2807,FORT
5823,MONTICELLO
5819,MONTICELLO
2623,JEFFERSON
2621,JEFFERSON
5919,MONTICELLO
2707,ALBEMARLE
2901,FARMINGTON
5920,EDGEHILL
2719,FAIRHAVEN
2721,FAIRHAVEN
2723,FAIRHAVEN
2725,FAIRHAVEN
5926,EDGEHILL
5924,EDGEHILL
5922,EDGEHILL
2734,FORT
2736,FORT
5844,MONTICELLO
2818,FORT
2803,JEFFERSON
2801,JEFFERSON
2721,JEFFERSON
2820,FORT
5842,MONTICELLO
5848,MONTICELLO
2708,FARNSWORTH
2710,FARNSWORTH
2814,FARMINGTON
5821,EDGEHILL
2715,FAIRHAVEN
2717,FAIRHAVEN
5942,WILLIAMSBURG
5944,WILLIAMSBURG
5946,WILLIAMSBURG
5948,WILLIAMSBURG
5855,EDGEHILL
5943,WILLIAMSBURG
5941,WILLIAMSBURG
5939,WILLIAMSBURG
6002,WILLIAMSBURG
2836,FAIRHAVEN
2838,FAIRHAVEN
2731,FARNSWORTH
2705,FARMINGTON
6008,MONTICELLO
6010,MONTICELLO
6012,MONTICELLO
6014,MONTICELLO
2601,FARMINGTON
5906,MONTICELLO
2614,FARMINGTON
2616,FARMINGTON
2618,FARMINGTON
6002,MONTICELLO
6004,MONTICELLO
6000,MONTICELLO
5933,MONTICELLO
5931,MONTICELLO
5861,EDGEHILL
2808,JEFFERSON
2806,JEFFERSON
2620,FARMINGTON
2622,FARMINGTON
2724,JEFFERSON
5826,EDGEHILL
5830,EDGEHILL
5832,EDGEHILL
5827,EDGEHILL
5857,EDGEHILL
2804,JEFFERSON
2802,JEFFERSON
6022,NORTH KINGS
6015,WILLIAMSBURG
5906,EDGEHILL
5910,EDGEHILL
2831,FAIRHAVEN
2851,FAIRHAVEN
5838,EDGEHILL
5840,EDGEHILL
5944,MONTICELLO
5862,EDGEHILL
5864,EDGEHILL
5868,EDGEHILL
5870,EDGEHILL
5872,EDGEHILL
2804,FARMINGTON
5923,EDGEHILL
5925,EDGEHILL
5927,EDGEHILL
2603,FARMINGTON
5929,EDGEHILL
6007,WILLIAMSBURG
6005,WILLIAMSBURG
6003,WILLIAMSBURG
2810,FARMINGTON
5930,WILLIAMSBURG
5932,WILLIAMSBURG
5934,WILLIAMSBURG
5936,WILLIAMSBURG
5938,WILLIAMSBURG
2828,JEFFERSON
2826,JEFFERSON
5812,EDGEHILL
5802,EDGEHILL
2824,JEFFERSON
5900,EDGEHILL
5902,EDGEHILL
5834,EDGEHILL
5810,EDGEHILL
5818,EDGEHILL
5816,EDGEHILL
5814,EDGEHILL
2721,FARNSWORTH
5946,MONTICELLO
2725,ALBEMARLE
2801,ALBEMARLE
2805,ALBEMARLE
2809,ALBEMARLE
2813,ALBEMARLE
5909,EDGEHILL
5911,EDGEHILL
6004,NORTH KINGS
6006,NORTH KINGS
6008,NORTH KINGS
6010,NORTH KINGS
5926,WILLIAMSBURG
5928,WILLIAMSBURG
5836,EDGEHILL
2713,JEFFERSON
2711,JEFFERSON
2709,JEFFERSON
2707,JEFFERSON
2703,JEFFERSON
5820,MONTICELLO
5808,EDGEHILL
5824,MONTICELLO
2702,FARMINGTON
5840,MONTICELLO
2718,FARNSWORTH
2810,FORT
2812,FORT
2814,FORT
2816,FORT
2804,ALBEMARLE
2806,ALBEMARLE
2810,ALBEMARLE
2812,ALBEMARLE
2814,ALBEMARLE
5867,EDGEHILL
6006,MONTICELLO
2816,JEFFERSON
5833,EDGEHILL
5839,EDGEHILL
5837,EDGEHILL
5835,EDGEHILL
5831,EDGEHILL
2611,JEFFERSON
2609,JEFFERSON
2605,JEFFERSON
5806,KINGS
5808,KINGS
5810,KINGS
5812,KINGS
2606,FARMINGTON
2608,FARMINGTON
2814,JEFFERSON
2610,FARMINGTON
2612,FARMINGTON
,
5904,EDGEHILL
2711,FORT
2853,FAIRHAVEN
2808,FARMINGTON
2806,FARMINGTON
2812,FARMINGTON
2900,FARMINGTON
5841,EDGEHILL
5936,MONTICELLO
5911,MONTICELLO
5909,MONTICELLO
5934,MONTICELLO
5938,MONTICELLO
2711,ALBEMARLE
2713,ALBEMARLE
2715,ALBEMARLE
2717,ALBEMARLE
2822,FAIRHAVEN
2824,FAIRHAVEN
2828,FAIRHAVEN
2830,FAIRHAVEN
2832,FAIRHAVEN
6030,NORTH KINGS
6032,NORTH KINGS
2700,FAIRHAVEN
5914,WILLIAMSBURG
5918,WILLIAMSBURG
5829,EDGEHILL
5825,EDGEHILL
2811,FARMINGTON
2805,FARMINGTON
2705,FARNSWORTH
2703,FARNSWORTH
2701,FARNSWORTH
5860,MONTICELLO
5862,MONTICELLO
2800,JEFFERSON
6020,MONTICELLO
2800,FAIRHAVEN
2808,FAIRHAVEN
5865,EDGEHILL
2708,FAIRHAVEN
6025,WILLIAMSBURG
2728,FARNSWORTH
6016,MONTICELLO
5806,EDGEHILL
5804,EDGEHILL
2702,ALBEMARLE
2704,ALBEMARLE
2706,ALBEMARLE
2708,ALBEMARLE
2710,ALBEMARLE
2712,ALBEMARLE
2714,ALBEMARLE
6108,NORTH KINGS
2710,JEFFERSON
2708,JEFFERSON
2704,JEFFERSON
2801,FARMINGTON
2735,FARNSWORTH
